centrality,strength,degree,ID,yr,mnth,path,spatthresh,tempthresh
0.126512033189294,0.188956231646332,6,H,2017,1,input/locs-a.csv,50,10 minutes
0.91214697136113,1.45433547508085,8,I,2017,1,input/locs-a.csv,50,10 minutes
0.392052605618811,0.572631645849883,8,J,2017,1,input/locs-a.csv,50,10 minutes
0.987200382677885,0.999132092898417,4,A,2017,2,input/locs-a.csv,50,10 minutes
0.0708764087328795,0.767996780734614,4,B,2017,2,input/locs-a.csv,50,10 minutes
1,1.02670530799883,4,C,2017,2,input/locs-a.csv,50,10 minutes
0.566151820256088,0,0,D,2017,2,input/locs-a.csv,50,10 minutes
0.119754475264987,0.428405718659748,6,E,2017,2,input/locs-a.csv,50,10 minutes
0.856299645679879,0.872249683431282,3,F,2017,2,input/locs-a.csv,50,10 minutes
0.0663541503435561,0.501005131321552,4,G,2017,2,input/locs-a.csv,50,10 minutes
0.0617827239386187,0.132863673902784,4,H,2017,2,input/locs-a.csv,50,10 minutes
0.881075645428908,0.909586237751834,3,I,2017,2,input/locs-a.csv,50,10 minutes
0.0694028411162818,0.650707535817607,4,J,2017,2,input/locs-a.csv,50,10 minutes
0.971458123849618,0.53819055576551,6,A,2016,11,input/locs-b.csv,100,20 minutes
0.0430478172161006,0.350844277673546,1,B,2016,11,input/locs-b.csv,100,20 minutes
0.452139898807348,0.218772542207763,5,C,2016,11,input/locs-b.csv,100,20 minutes
0.138708368714195,0,0,D,2016,11,input/locs-b.csv,100,20 minutes
0.542784108243213,0.421567565320047,5,E,2016,11,input/locs-b.csv,100,20 minutes
0.0415937187972635,0.0198300283286119,1,F,2016,11,input/locs-b.csv,100,20 minutes
0.0571115991425251,0.367604081453289,6,G,2016,11,input/locs-b.csv,100,20 minutes
0.496503221623605,0.384290704918727,5,H,2016,11,input/locs-b.csv,100,20 minutes
1,0.592893634329772,6,I,2016,11,input/locs-b.csv,100,20 minutes
0.0430835041457835,0.0199430199430199,1,J,2016,11,input/locs-b.csv,100,20 minutes
0.923710355100446,0.919389292736973,6,A,2016,12,input/locs-b.csv,100,20 minutes
0.0549777684990492,0.826732673267327,1,B,2016,12,input/locs-b.csv,100,20 minutes
0.744845096667282,0.709287064896464,6,C,2016,12,input/locs-b.csv,100,20 minutes
0.154460891294556,0,0,D,2016,12,input/locs-b.csv,100,20 minutes
0.87287593516726,0.81826759520942,6,E,2016,12,input/locs-b.csv,100,20 minutes
0.719063538719518,0.669976973829846,6,F,2016,12,input/locs-b.csv,100,20 minutes
0.0549730546188294,0.826732673267327,1,G,2016,12,input/locs-b.csv,100,20 minutes
0.942043325682937,0.91940162096337,6,H,2016,12,input/locs-b.csv,100,20 minutes
1,1.02523014338118,6,I,2016,12,input/locs-b.csv,100,20 minutes
0.616471538068132,0.566541563766329,6,J,2016,12,input/locs-b.csv,100,20 minutes
0.978125037232519,2.1242530872566,8,A,2017,1,input/locs-a.csv,100,20 minutes
0.695427372568435,1.59767559444406,7,B,2017,1,input/locs-a.csv,100,20 minutes
0.961104501388317,1.99546807094749,8,C,2017,1,input/locs-a.csv,100,20 minutes
0.0758907043705317,0,0,D,2017,1,input/locs-a.csv,100,20 minutes
0.987886142903599,2.07721168841189,8,E,2017,1,input/locs-a.csv,100,20 minutes
1,2.13665887651268,8,F,2017,1,input/locs-a.csv,100,20 minutes
0.684782345498593,1.57139891248078,7,G,2017,1,input/locs-a.csv,100,20 minutes
0.126811566754824,0.267482561401761,6,H,2017,1,input/locs-a.csv,100,20 minutes
0.895031726056726,1.9642059074721,8,I,2017,1,input/locs-a.csv,100,20 minutes
0.416951528096301,0.839678719829114,8,J,2017,1,input/locs-a.csv,100,20 minutes
1,1.33410654710501,4,A,2017,2,input/locs-a.csv,100,20 minutes
0.0590706030550655,1.15154129471246,4,B,2017,2,input/locs-a.csv,100,20 minutes
0.999659748453396,1.33539709426974,4,C,2017,2,input/locs-a.csv,100,20 minutes
0.535700414119027,0,0,D,2017,2,input/locs-a.csv,100,20 minutes
0.116132924765075,0.646740893916621,6,E,2017,2,input/locs-a.csv,100,20 minutes
0.96769660020427,1.29132501190982,3,F,2017,2,input/locs-a.csv,100,20 minutes
0.0585922631268271,0.761086086756168,4,G,2017,2,input/locs-a.csv,100,20 minutes
0.0621492721013351,0.207456997729657,4,H,2017,2,input/locs-a.csv,100,20 minutes
0.976647298278993,1.3105958289144,3,I,2017,2,input/locs-a.csv,100,20 minutes
0.05852777429746,1.05467992929794,4,J,2017,2,input/locs-a.csv,100,20 minutes
0.96557523513138,0.409151078290964,6,A,2016,11,input/locs-b.csv,50,10 minutes
0.059014766165164,0.288014311270125,1,B,2016,11,input/locs-b.csv,50,10 minutes
0.470501752536628,0.174554657921768,5,C,2016,11,input/locs-b.csv,50,10 minutes
